DATE,FED Interest Rate,CPI (Inflation)
1/1/2000,5.45,3.85
2/1/2000,5.73,2.79
3/1/2000,5.85,3.42
4/1/2000,6.02,2.28
5/1/2000,6.27,2.85
6/1/2000,6.53,3.14
7/1/2000,6.54,3.44
8/1/2000,6.5,2.88
9/1/2000,6.52,3.07
10/1/2000,6.51,2.70
11/1/2000,6.51,2.65
12/1/2000,6.4,3.30
1/1/2001,5.98,4.08
2/1/2001,5.49,2.84
3/1/2001,5.31,2.99
4/1/2001,4.8,3.14
5/1/2001,4.21,3.50
6/1/2001,3.97,3.52
7/1/2001,3.77,2.44
8/1/2001,3.65,3.81
9/1/2001,3.07,2.78
10/1/2001,2.49,4.18
11/1/2001,2.09,3.44
12/1/2001,1.82,2.48
1/1/2002,1.73,2.76
2/1/2002,1.74,3.38
3/1/2002,1.73,2.87
4/1/2002,1.75,2.68
5/1/2002,1.75,2.42
6/1/2002,1.75,2.50
7/1/2002,1.73,2.25
8/1/2002,1.74,2.29
9/1/2002,1.75,2.72
10/1/2002,1.75,2.31
11/1/2002,1.34,1.91
12/1/2002,1.24,3.01
1/1/2003,1.24,2.18
2/1/2003,1.26,1.98
3/1/2003,1.25,1.13
4/1/2003,1.26,0.55
5/1/2003,1.26,1.08
6/1/2003,1.22,1.12
7/1/2003,1.01,2.67
8/1/2003,1.03,2.36
9/1/2003,1.01,2.02
10/1/2003,1.01,2.10
11/1/2003,1,1.19
12/1/2003,0.98,1.80
1/1/2004,1,2.22
2/1/2004,1.01,2.91
3/1/2004,1,2.73
4/1/2004,1,2.54
5/1/2004,1,3.22
6/1/2004,1.03,2.72
7/1/2004,1.26,1.77
8/1/2004,1.43,2.87
9/1/2004,1.61,2.15
10/1/2004,1.76,2.66
11/1/2004,1.93,1.48
12/1/2004,2.16,1.92
1/1/2005,2.28,3.42
2/1/2005,2.5,3.30
3/1/2005,2.63,1.90
4/1/2005,2.79,2.10
5/1/2005,3,3.17
6/1/2005,3.04,1.62
7/1/2005,3.26,3.03
8/1/2005,3.5,2.22
9/1/2005,3.62,4.02
10/1/2005,3.78,3.33
11/1/2005,4,2.84
12/1/2005,4.16,2.20
1/1/2006,4.29,2.88
2/1/2006,4.49,2.07
3/1/2006,4.59,3.08
4/1/2006,4.79,2.89
5/1/2006,4.94,4.29
6/1/2006,4.99,3.20
7/1/2006,5.24,3.05
8/1/2006,5.25,4.62
9/1/2006,5.25,2.11
10/1/2006,5.25,3.65
11/1/2006,5.25,3.02
12/1/2006,5.24,2.73
1/1/2007,5.25,2.96
2/1/2007,5.26,4.45
3/1/2007,5.26,2.69
4/1/2007,5.25,2.37
5/1/2007,5.25,2.35
6/1/2007,5.25,3.27
7/1/2007,5.26,2.83
8/1/2007,5.02,2.18
9/1/2007,4.94,3.70
10/1/2007,4.76,3.43
11/1/2007,4.49,3.48
12/1/2007,4.24,2.98
1/1/2008,3.94,3.28
2/1/2008,2.98,2.86
3/1/2008,2.61,3.04
4/1/2008,2.28,2.24
5/1/2008,1.98,2.46
6/1/2008,2,4.05
7/1/2008,2.01,3.99
8/1/2008,2,2.94
9/1/2008,1.81,3.17
10/1/2008,0.97,2.20
11/1/2008,0.39,1.94
12/1/2008,0.16,0.36
1/1/2009,0.15,2.40
2/1/2009,0.22,2.14
3/1/2009,0.18,1.91
4/1/2009,0.15,1.86
5/1/2009,0.18,1.29
6/1/2009,0.21,0.76
7/1/2009,0.16,0.13
8/1/2009,0.16,1.63
9/1/2009,0.15,0.91
10/1/2009,0.12,1.19
11/1/2009,0.12,0.52
12/1/2009,0.12,0.46
1/1/2010,0.11,0.68
2/1/2010,0.13,-0.11
3/1/2010,0.16,-0.29
4/1/2010,0.2,0.45
5/1/2010,0.2,0.28
6/1/2010,0.18,1.26
7/1/2010,0.18,0.63
8/1/2010,0.19,0.43
9/1/2010,0.19,1.54
10/1/2010,0.19,1.13
11/1/2010,0.19,1.32
12/1/2010,0.18,1.39
1/1/2011,0.17,2.27
2/1/2011,0.16,2.82
3/1/2011,0.14,1.74
4/1/2011,0.1,2.25
5/1/2011,0.09,2.31
6/1/2011,0.09,1.93
7/1/2011,0.07,2.54
8/1/2011,0.1,3.18
9/1/2011,0.08,2.49
10/1/2011,0.07,2.02
11/1/2011,0.08,1.85
12/1/2011,0.07,2.37
1/1/2012,0.08,3.20
2/1/2012,0.1,1.68
3/1/2012,0.13,2.42
4/1/2012,0.14,2.29
5/1/2012,0.16,1.73
6/1/2012,0.16,1.92
7/1/2012,0.16,2.08
8/1/2012,0.13,2.42
9/1/2012,0.14,2.29
10/1/2012,0.16,1.88
11/1/2012,0.16,2.07
12/1/2012,0.16,1.79
1/1/2013,0.14,2.74
2/1/2013,0.15,2.45
3/1/2013,0.14,1.22
4/1/2013,0.15,2.09
5/1/2013,0.11,1.96
6/1/2013,0.09,2.14
7/1/2013,0.09,2.00
8/1/2013,0.08,2.15
9/1/2013,0.08,2.23
10/1/2013,0.09,1.16
11/1/2013,0.08,2.61
12/1/2013,0.09,2.84
1/1/2014,0.07,2.41
2/1/2014,0.07,2.35
3/1/2014,0.08,2.86
4/1/2014,0.09,2.21
5/1/2014,0.09,2.55
6/1/2014,0.1,1.31
7/1/2014,0.09,2.40
8/1/2014,0.09,1.75
9/1/2014,0.09,1.94
10/1/2014,0.09,2.43
11/1/2014,0.09,2.26
12/1/2014,0.12,2.38
1/1/2015,0.11,1.95
2/1/2015,0.11,1.95
3/1/2015,0.11,2.43
4/1/2015,0.12,2.96
5/1/2015,0.12,2.50
6/1/2015,0.13,2.97
7/1/2015,0.13,1.92
8/1/2015,0.14,1.64
9/1/2015,0.14,3.00
10/1/2015,0.12,2.28
11/1/2015,0.12,2.27
12/1/2015,0.24,1.83
1/1/2016,0.34,2.71
2/1/2016,0.38,2.54
3/1/2016,0.36,2.22
4/1/2016,0.37,3.83
5/1/2016,0.37,3.28
6/1/2016,0.38,2.10
7/1/2016,0.39,2.49
8/1/2016,0.4,2.74
9/1/2016,0.4,2.50
10/1/2016,0.4,2.02
11/1/2016,0.41,2.46
12/1/2016,0.54,2.04
1/1/2017,0.65,3.44
2/1/2017,0.66,3.29
3/1/2017,0.79,1.91
4/1/2017,0.9,1.55
5/1/2017,0.91,2.11
6/1/2017,1.04,1.90
7/1/2017,1.15,2.12
8/1/2017,1.16,2.27
9/1/2017,1.15,2.87
10/1/2017,1.15,2.42
11/1/2017,1.16,2.42
12/1/2017,1.3,2.96
1/1/2018,1.41,4.17
2/1/2018,1.42,2.01
3/1/2018,1.51,1.96
4/1/2018,1.69,2.93
5/1/2018,1.7,2.98
6/1/2018,1.82,2.63
7/1/2018,1.91,2.11
8/1/2018,1.91,2.30
9/1/2018,1.95,2.33
10/1/2018,2.19,2.61
11/1/2018,2.2,3.72
12/1/2018,2.27,2.91
1/1/2019,2.4,3.23
2/1/2019,2.4,3.02
3/1/2019,2.41,3.21
4/1/2019,2.42,2.28
5/1/2019,2.39,2.56
6/1/2019,2.38,3.81
7/1/2019,2.4,2.47
8/1/2019,2.13,2.46
9/1/2019,2.04,3.15
10/1/2019,1.83,2.53
11/1/2019,1.55,3.45
12/1/2019,1.55,2.61
1/1/2020,1.55,3.21
2/1/2020,1.58,2.71
3/1/2020,0.65,2.97
4/1/2020,0.05,1.97
5/1/2020,0.05,2.90
6/1/2020,0.08,1.68
7/1/2020,0.09,3.61
8/1/2020,0.1,2.24
9/1/2020,0.09,1.13
10/1/2020,0.09,1.84
11/1/2020,0.09,1.22
12/1/2020,0.09,1.62
1/1/2021,0.09,1.52
2/1/2021,0.08,2.81
3/1/2021,0.07,2.36
4/1/2021,0.07,2.75
5/1/2021,0.06,3.34
6/1/2021,0.08,3.17
7/1/2021,0.1,3.58
8/1/2021,0.09,4.02
9/1/2021,0.08,5.05
10/1/2021,0.08,7.66
11/1/2021,0.08,6.25
12/1/2021,0.08,5.61
1/1/2022,0.08,6.99
2/1/2022,0.08,6.52
3/1/2022,0.2,6.35
4/1/2022,0.33,6.03
5/1/2022,0.77,7.50
6/1/2022,1.21,7.92
7/1/2022,1.68,6.42
8/1/2022,2.33,8.46
9/1/2022,2.56,8.38
10/1/2022,3.08,6.51
11/1/2022,3.78,5.77
12/1/2022,4.1,7.05
1/1/2023,4.33,8.14
2/1/2023,4.57,7.88
3/1/2023,4.65,4.91
4/1/2023,4.83,4.91
5/1/2023,5.06,4.66
6/1/2023,5.08,4.36
7/1/2023,5.12,2.28
8/1/2023,5.33,4.03
9/1/2023,5.33,5.63
10/1/2023,5.33,3.88
11/1/2023,5.33,5.34
12/1/2023,5.33,4.85
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
https://fred.stlouisfed.org/series/FEDFUNDS,,
https://fred.stlouisfed.org/series/MEDCPIM158SFRBCLE,,
